All,Todos
"Shopping cart %1 only virtual items","O carrinho de compras %1 apenas itens virtuais"
"The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:","A lista de desejos não está vazia e foi abandonada %1 %2 dias e %3 destas condições são verdadeiras:"
"The root wish list condition should have a days value of 1 or greater.","A condição da lista de desejos raiz deve ter um valor de dias maior ou igual a 1."
"Number of Items","Número de Itens"
"Number of wish list items %1 %2 ","Número de itens da lista de desejos %1 %2 "
Sharing,Partilha
"Wish List %1 shared","Lista de Desejos %1 partilhada"
is,está
"is not","não está"
"The item was added to wish list %1, store view %2.","O item foi adicionado à lista de desejos %1, vista de loja %2."
"If an item is %1 in the wish list and %2 of these conditions match:","Se um item estiver %1 na lista de desejos e %2 destas condições sejam verdadeiras:"
"Condition type is unexpected","O tipo de condição não é o esperado"
"Please specify a valid number of minute.","Por favor especifique um número válido de minutos."
"Unable to save Cron expression","Não fomos capazes de gravar a expressão Cron"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Importante</b>: Se selecionar ""Usar Geração Automática"", esta regra deixará de ser usada em qualquer lembrete de email automático para carrinhos de compras abandonados"
"Validate error 1","Erro de validação 1"
"Validate error 2","Erro de validação 2"
"Promotion reminder at %store_name","Notificação de promoção na %store_name"
"Hurry up to take advantage of our %promotion_name promotion!","Apresse-se e aproveite a nossa promoção %promotion_name!"
"Hurry up to take advantage of this promotion!","Apresse-se e aproveite esta nossa promoção!"
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.","Para aproveitar a promoção precisa de iniciar sessão na <a href=""%account_url"">%store_name</a> e aplicar o cupão ""%coupon_code"" no carrinho de compras."
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a>","Para aproveitar a promoção precisa de iniciar sessão na <a href=""%account_url"">%store_name</a>"
"This coupon can be used only up to %coupon_limit time(s) by you or other customers.","Este cupão apenas pode ser usado %coupon_limit vez(es) por si ou por outros clientes."
"You can use this coupon up to %coupon_limit time(s).","Pode usar este cupão até %coupon_limit vez(es)."
"Promo Section","Secção de Promoções"
"Automated Email Reminder Rules","Regras de Lembrete por Email Automatizado"
"Enable Reminder Emails","Ativar Lembretes por Email"
Interval,Intervalo
"Set this value equal or greater to your Magento cron job launch period.","Defina este valor superior ou igual ao seu período de lançamento de trabalhos cron do Magento."
"Minute of the Hour","Minuto da Hora"
"Valid range: 0-59 (default 0).","Intervalo válido: 0-59 (0 por pré-definição)."
"Maximum Emails per One Run","Máximos Emails por Cada Execução"
"Email Send Failure Threshold","Limite de Falhas de Envio de Email"
"Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop.","Certifique-se que insere um valor limite, ou os emails de lembrete serão re-enviados aos clientes num ciclo."
"Reminder Email Sender","Remetente do Email de Lembrete"
"New Accounts","Novas contas"
"Customers by number of orders","Clientes por número de encomendas"
"Date Used","Data Utilizada"
"Invalid date specified","Data inválida especificada"
"We can't find records for this period.","Não foram encontrados registos para este período."
Purchases,Compras
Detail,Detalhe
"Price Rule","Regra de Preço"
"Total Refunded","Total Reembolsado"
Paid,Pago
"Tax Amount","Valor do imposto"
"Products in carts","Produtos em carrinhos"
Review,Avaliação
Reviews,Avaliações
"Product Reviews","Avaliação do Produto"
Coupons,Cupões
"Customer Shopping Carts","Carrinhos de compras de cliente"
"Products in Carts","Produtos em carrinhos"
"We can't refresh recent statistics.","Não foi possível recarregar as estatísticas recentes."
"Products in Cart","Produtos no carrinho"
"Search Terms","Termos de Pesquisa"
"By Customers","Por clientes"
"By Products","Por produtos"
Refunds,Reembolsos
"Ordered Quantity","Quantidade Encomendada"
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Para ter relatórios precisos, certifique-se que recarrega as estatísticas desde sempre por cada vez que alterar o fuso horário."
"Average (Approved)","Média (Aprovada)"
"Last Review","Último Comentário"
"Order Created","Encomenda Criada"
"Order Updated","Encomenda Atualizada"
"The Order Updated report is created in real time and does not require a refresh.","O relatório de Encomenda Atualizada é criado em realtime e não precisa de ser recarregado."
"Last Invoice Created Date","Data de Criação da Última Fatura"
"Last Credit Memo Created Date","Data de Criação da Última Nota de Crédito"
"First Invoice Created Date","Data de Criação da Primeira Fatura"
"Refresh Lifetime Statistics","Recarregar Estatísticas Desde Sempre"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Tem a certeza que pretende recarregar as estatísticas desde sempre? Esta operação pode tornar a experiência de compras dos seus clientes mais lenta."
"Refresh Statistics for the Last Day","Recarregar Estatísticas para o Último Dia"
"Are you sure you want to refresh statistics for the last day?","Tem a certeza que pretende recarregar as estatísticas para o último dia?"
undefined,indefinido
"Best Sellers Report","Relatório dos Mais Vendidos"
"We can't specify a product.","Não conseguimos especificar um produto."
"We can't configure the product right now.","De momento não é possível configurar o produto."
"Invalid item option format.","Formato de opção de item inválido."
"Cannot specify product.","Não é possível especificar o produto."
Copy,Copiar
"Save Review","Guardar análise"
"New Review","Nova análise"
"Review Details","Rever Detalhes"
"Product Rating","Classificação do Produto"
Nickname,Pseudónimo
"Summary of Review","Resumo de análise"
"Save and Previous","Gravar e Regressar"
"Save and Next","Gravar e Avançar"
"Delete Review","Apagar Avaliação"
"Edit Review '%1'","Editar Comentário '%1'"
Administrator,Administrador
Author,Autor
"Summary Rating","Resumo da Avaliação"
"Detailed Rating","Avaliação detalhada"
"Update Status","Estado da Atualização"
"Pending Reviews of Customer `%1`","Avaliações pendentes do cliente '%1'"
"Pending Reviews","Avaliações pendentes"
"All Reviews of Customer `%1`","Todas as avaliações do cliente '%1'"
"All Reviews of Product `%1`","Todas as avaliações do produto '%1'"
"All Reviews","Todas as avaliações"
"Product Store Name","Nome da Loja do Produto"
"Manage Ratings","Gerir Classificações"
"Add New Rating","Adicionar nova classificação"
"Save Rating","Guardar classificação"
"Delete Rating","Apagar classificação"
